ds,yhat
09 December 2018,1483.258827
10 December 2018,1576.314411
11 December 2018,1554.283298
12 December 2018,1560.00006
13 December 2018,1621.655406
14 December 2018,1689.237461
15 December 2018,1652.491631
16 December 2018,1565.741095
17 December 2018,1674.801357
18 December 2018,1668.280663
19 December 2018,1688.572849
20 December 2018,1763.446052
21 December 2018,1842.496421
22 December 2018,1815.119715
23 December 2018,1735.342481
24 December 2018,1848.745932
25 December 2018,1843.774053
26 December 2018,1862.732272
27 December 2018,1933.379927
28 December 2018,2005.385565
29 December 2018,1968.29786
30 December 2018,1876.373863
31 December 2018,1975.49774
01 January 2019,1954.481657
02 January 2019,1956.055314
03 January 2019,2008.447603
04 January 2019,2061.829695
05 January 2019,2006.272672
06 January 2019,1896.561753
07 January 2019,1979.100677
08 January 2019,1943.198261
09 January 2019,1932.044046
10 January 2019,1974.276881
11 January 2019,2020.416111
12 January 2019,1960.808838
13 January 2019,1850.435579
14 January 2019,1935.808143
15 January 2019,1906.251947
16 January 2019,1904.879816
17 January 2019,1960.161182
18 January 2019,2022.356375
19 January 2019,1981.469382
20 January 2019,1892.061317
21 January 2019,2000.158197
22 January 2019,1994.54502
23 January 2019,2017.752885
24 January 2019,2097.642739
25 January 2019,2183.855053
26 January 2019,2165.778417
27 January 2019,2097.378884
28 January 2019,2224.123228
29 January 2019,2234.28771
30 January 2019,2269.958718
31 January 2019,2358.62847
01 February 2019,2449.654794
02 February 2019,2432.237694
03 February 2019,2360.254288
04 February 2019,2479.185167
05 February 2019,2477.423642
06 February 2019,2497.274239
07 February 2019,2566.543672
08 February 2019,2634.993421
09 February 2019,2592.306793
10 February 2019,2492.912302
11 February 2019,2582.896698
12 February 2019,2551.299464
13 February 2019,2541.095482
14 February 2019,2580.76955
15 February 2019,2620.752255
16 February 2019,2551.37052
17 February 2019,2427.65509
18 February 2019,2496.238676
19 February 2019,2446.636962
20 February 2019,2422.219521
21 February 2019,2451.774606
22 February 2019,2485.937571
23 February 2019,2415.136434
24 February 2019,2294.396947
25 February 2019,2370.240967
26 February 2019,2331.970301
27 February 2019,2322.643014
28 February 2019,2370.645995
01 March 2019,2426.133361
02 March 2019,2378.983918
03 March 2019,2283.619773
04 March 2019,2385.919513
05 March 2019,2374.517775
06 March 2019,2391.797768
07 March 2019,2465.480175
08 March 2019,2545.077567
09 March 2019,2519.86719
10 March 2019,2443.723818
11 March 2019,2562.045761
12 March 2019,2563.065541
13 March 2019,2588.851548
14 March 2019,2666.903882
15 March 2019,2746.613383
16 March 2019,2717.23662
17 March 2019,2632.728489
18 March 2019,2738.665569
19 March 2019,2723.551835
20 March 2019,2729.813181
21 March 2019,2785.384181
22 March 2019,2840.156336
23 March 2019,2783.940854
24 March 2019,2671.287949
25 March 2019,2748.396142
26 March 2019,2704.403505
27 March 2019,2682.36769
28 March 2019,2710.83849
29 March 2019,2740.292529
30 March 2019,2661.083445
31 March 2019,2528.249839
01 April 2019,2588.414702
02 April 2019,2531.068485
03 April 2019,2499.542792
04 April 2019,2522.57856
05 April 2019,2550.758375
06 April 2019,2474.456293
07 April 2019,2348.647379
08 April 2019,2419.810607
09 April 2019,2377.217113
10 April 2019,2363.91063
11 April 2019,2408.283744
12 April 2019,2460.519385
13 April 2019,2410.550658
14 April 2019,2312.880967
15 April 2019,2413.497784
16 April 2019,2401.171793
17 April 2019,2418.447978
18 April 2019,2493.232026
19 April 2019,2575.241262
20 April 2019,2553.973001
21 April 2019,2483.53212
22 April 2019,2609.551057
23 April 2019,2620.493902
24 April 2019,2658.651052
25 April 2019,2751.727829
26 April 2019,2849.296266
27 April 2019,2840.763022
28 April 2019,2780.195309
29 April 2019,2913.238149
30 April 2019,2928.414774
01 May 2019,2968.116793
02 May 2019,3060.187696
03 May 2019,3154.369074
04 May 2019,3140.262704
05 May 2019,3072.150546
06 May 2019,3195.906141
07 May 2019,3200.289384
08 May 2019,3227.931413
09 May 2019,3306.913323
10 May 2019,3387.208161
11 May 2019,3358.639415
12 May 2019,3275.698099
13 May 2019,3384.451943
14 May 2019,3373.83862
15 May 2019,3386.649776
16 May 2019,3451.10947
17 May 2019,3517.316433
18 May 2019,3475.203285
19 May 2019,3379.354699
20 May 2019,3475.917934
21 May 2019,3453.897568
22 May 2019,3456.141086
23 May 2019,3510.918844
24 May 2019,3568.367737
25 May 2019,3518.451623
26 May 2019,3415.780441
27 May 2019,3506.521409
28 May 2019,3479.694085
29 May 2019,3478.155972
30 May 2019,3530.182167
31 May 2019,3585.908436
01 June 2019,3535.290788
02 June 2019,3432.923572
03 June 2019,3524.949509
04 June 2019,3500.353577
05 June 2019,3501.947451
06 June 2019,3557.948125
07 June 2019,3618.420156
08 June 2019,3573.234691
09 June 2019,3476.887354
10 June 2019,3575.408478
11 June 2019,3557.657624
12 June 2019,3566.309124
13 June 2019,3629.43228
14 June 2019,3696.935651
15 June 2019,3658.528554
16 June 2019,3568.541815
17 June 2019,3672.841191
18 June 2019,3660.125324
19 June 2019,3672.914871
20 June 2019,3739.136359
21 June 2019,3808.570059
22 June 2019,3770.814926
23 June 2019,3680.112517
24 June 2019,3782.263197
25 June 2019,3765.926414
26 June 2019,3773.611593
27 June 2019,3833.26312
28 June 2019,3894.708665
29 June 2019,3847.623857
30 June 2019,3746.355202
01 July 2019,3836.834567
02 July 2019,3807.877039
03 July 2019,3802.168756
04 July 2019,3847.848254
05 July 2019,3894.95068
06 July 2019,3833.367963
07 July 2019,3717.666974
08 July 2019,3793.999121
09 July 2019,3751.393308
10 July 2019,3732.739006
11 July 2019,3766.363102
12 July 2019,3802.470001
13 July 2019,3731.098194
14 July 2019,3606.935413
15 July 2019,3676.225918
16 July 2019,3628.061885
17 July 2019,3605.365714
18 July 2019,3636.466913
19 July 2019,3671.543039
20 July 2019,3600.577889
21 July 2019,3478.178978
22 July 2019,3550.487811
23 July 2019,3506.474796
24 July 2019,3488.925511
25 July 2019,3526.021865
26 July 2019,3567.787497
27 July 2019,3504.050454
28 July 2019,3389.265068
29 July 2019,3469.42638
30 July 2019,3433.368846
31 July 2019,3423.755919
01 August 2019,3468.663936
02 August 2019,3518.029585
03 August 2019,3461.613929
04 August 2019,3353.824878
05 August 2019,3440.631423
06 August 2019,3410.861421
07 August 2019,3407.189523
08 August 2019,3457.718777
09 August 2019,3512.42523
10 August 2019,3461.118645
11 August 2019,3358.26132
12 August 2019,3449.87848
13 August 2019,3424.852143
14 August 2019,3425.905232
15 August 2019,3481.179582
16 August 2019,3540.677315
17 August 2019,3494.218824
18 August 2019,3396.259466
19 August 2019,3492.798521
20 August 2019,3472.672404
21 August 2019,3478.538923
22 August 2019,3538.45627
23 August 2019,3602.326208
24 August 2019,3559.854638
25 August 2019,3465.371596
26 August 2019,3564.744154
27 August 2019,3546.674064
28 August 2019,3553.686845
29 August 2019,3613.715808
30 August 2019,3676.550352
31 August 2019,3631.801519
01 September 2019,3533.726714
02 September 2019,3628.146852
03 September 2019,3603.747677
04 September 2019,3603.071736
05 September 2019,3654.104446
06 September 2019,3706.723438
07 September 2019,3650.664118
08 September 2019,3540.343295
09 September 2019,3621.77415
10 September 2019,3583.864279
11 September 2019,3569.403384
12 September 2019,3606.644126
13 September 2019,3645.745437
14 September 2019,3576.731398
15 September 2019,3454.30769
16 September 2019,3524.769092
17 September 2019,3477.28996
18 September 2019,3454.904493
19 September 2019,3486.080477
20 September 2019,3521.156071
21 September 2019,3450.292893
22 September 2019,3328.287633
23 September 2019,3401.475812
24 September 2019,3359.019758
25 September 2019,3343.887713
26 September 2019,3384.427827
27 September 2019,3430.806616
28 September 2019,3372.965163
29 September 2019,3265.435197
30 September 2019,3354.248599
01 October 2019,3328.232282
02 October 2019,3329.995163
03 October 2019,3387.510829
04 October 2019,3450.565209
